Datetime,Date,Time,Open,High,Low,Close,Vol
2015-12-17 14:40:00,20151217,1440,10260,10275,10260,10275,8079
2015-12-17 14:45:00,20151217,1445,10270,10295,10255,10295,88107
2015-12-17 14:50:00,20151217,1450,10295,10315,10295,10310,3967
2015-12-17 14:55:00,20151217,1450,10295,10315,10295,10310,3967
2015-12-17 15:00:00,20151217,1500,10330,10330,10330,10330,10971
2015-12-18 09:05:00,20151218,905,10230,10230,10185,10185,22018
2015-12-18 09:10:00,20151218,910,10190,10210,10165,10210,17116
2015-12-18 09:15:00,20151218,915,10210,10275,10210,10275,134740
2015-12-18 09:20:00,20151218,920,10275,10295,10265,10265,31943
2015-12-18 09:25:00,20151218,925,10265,10275,10240,10245,19946
2015-12-18 09:30:00,20151218,930,10265,10275,10265,10275,43861
2015-12-18 09:35:00,20151218,935,10275,10300,10270,10285,35941
2015-12-18 09:40:00,20151218,940,10285,10295,10275,10295,63723
2015-12-18 09:45:00,20151218,945,10295,10320,10295,10305,30595
2015-12-18 09:50:00,20151218,950,10305,10320,10295,10305,21421
2015-12-18 09:55:00,20151218,955,10305,10315,10300,10310,33259
2015-12-18 10:00:00,20151218,1000,10310,10370,10310,10365,46597
2015-12-18 10:05:00,20151218,1005,10365,10400,10360,10400,30565
2015-12-18 10:10:00,20151218,1010,10400,10415,10385,10415,28718
2015-12-18 10:15:00,20151218,1015,10415,10480,10415,10465,38094
2015-12-18 10:20:00,20151218,1020,10470,10590,10440,10590,134444
2015-12-18 10:25:00,20151218,1025,10490,10575,10490,10525,24448
2015-12-18 10:30:00,20151218,1030,10535,10540,10535,10540,20185
2015-12-18 10:35:00,20151218,1035,10545,10570,10545,10565,10819
2015-12-18 10:40:00,20151218,1040,10570,10570,10565,10565,1663
2015-12-18 10:45:00,20151218,1045,10565,10565,10540,10550,14554
2015-12-18 10:50:00,20151218,1050,10535,10535,10505,10530,12624
2015-12-18 10:55:00,20151218,1055,10520,10525,10440,10515,66764
2015-12-18 11:00:00,20151218,1100,10510,10530,10510,10530,21710
2015-12-18 11:05:00,20151218,1105,10530,10535,10525,10535,37643
2015-12-18 11:10:00,20151218,1110,10535,10545,10530,10540,21749
2015-12-18 11:15:00,20151218,1115,10540,10550,10540,10545,20657
2015-12-18 11:20:00,20151218,1120,10545,10550,10545,10545,16895
2015-12-18 11:25:00,20151218,1125,10550,10550,10545,10545,8154
2015-12-18 11:30:00,20151218,1130,10545,10545,10545,10545,26818
2015-12-18 11:35:00,20151218,1135,10545,10545,10540,10540,8039
2015-12-18 11:40:00,20151218,1140,10535,10540,10525,10535,23902
2015-12-18 11:45:00,20151218,1145,10535,10535,10520,10530,11168
2015-12-18 11:50:00,20151218,1150,10535,10535,10525,10530,18782
2015-12-18 11:55:00,20151218,1155,10525,10530,10515,10520,12460
2015-12-18 12:00:00,20151218,1200,10525,10540,10525,10535,7216
2015-12-18 12:05:00,20151218,1205,10540,10540,10540,10540,10342
2015-12-18 12:10:00,20151218,1210,10545,10545,10540,10540,4019
2015-12-18 12:15:00,20151218,1215,10535,10535,10535,10535,15092
2015-12-18 12:20:00,20151218,1220,10535,10535,10530,10530,33575
2015-12-18 12:25:00,20151218,1225,10530,10530,10515,10520,47464
2015-12-18 12:30:00,20151218,1230,10520,10520,10505,10515,12564
2015-12-18 12:35:00,20151218,1235,10520,10535,10515,10520,38034
2015-12-18 12:40:00,20151218,1240,10520,10530,10520,10525,16878
2015-12-18 12:45:00,20151218,1245,10525,10530,10525,10530,2127
2015-12-18 12:50:00,20151218,1250,10535,10550,10535,10545,2216
2015-12-18 12:55:00,20151218,1255,10545,10545,10535,10540,2439
2015-12-18 13:00:00,20151218,1300,10540,10555,10540,10550,5901
2015-12-18 13:05:00,20151218,1305,10550,10565,10545,10565,18301
2015-12-18 13:10:00,20151218,1310,10560,10565,10550,10565,15554
2015-12-18 13:15:00,20151218,1315,10550,10565,10545,10560,17434
2015-12-18 13:20:00,20151218,1320,10560,10575,10555,10570,11101
2015-12-18 13:25:00,20151218,1325,10570,10575,10565,10565,9849
2015-12-18 13:30:00,20151218,1330,10565,10580,10565,10580,5533
2015-12-18 13:35:00,20151218,1335,10575,10600,10575,10600,5165
2015-12-18 13:40:00,20151218,1340,10600,10630,10595,10625,7960
2015-12-18 13:45:00,20151218,1345,10625,10695,10625,10665,135118
2015-12-18 13:50:00,20151218,1350,10665,10665,10650,10650,10721
2015-12-18 13:55:00,20151218,1355,10655,10655,10650,10650,9505
2015-12-18 14:00:00,20151218,1400,10650,10660,10650,10650,8567
2015-12-18 14:05:00,20151218,1405,10655,10660,10650,10650,13246
2015-12-18 14:10:00,20151218,1410,10655,10665,10650,10660,13409
2015-12-18 14:15:00,20151218,1415,10660,10665,10660,10660,23130
2015-12-18 14:20:00,20151218,1420,10660,10670,10660,10670,18496
2015-12-18 14:25:00,20151218,1425,10675,10695,10670,10675,57187
2015-12-18 14:30:00,20151218,1430,10680,10700,10675,10695,15044
2015-12-18 14:35:00,20151218,1435,10695,10705,10695,10705,19362
2015-12-18 14:40:00,20151218,1440,10710,10710,10695,10700,8327
2015-12-18 14:45:00,20151218,1445,10700,10710,10690,10710,8335
2015-12-18 14:50:00,20151218,1450,10705,10710,10700,10710,34046
2015-12-18 14:55:00,20151218,1450,10705,10710,10700,10710,34046
2015-12-18 15:00:00,20151218,1500,10710,10710,10710,10710,4409
2015-12-21 09:05:00,20151221,905,10695,10710,10670,10705,58767
2015-12-21 09:10:00,20151221,910,10695,10710,10680,10705,20483
2015-12-21 09:15:00,20151221,915,10710,10710,10700,10705,17322
2015-12-21 09:20:00,20151221,920,10705,10705,10690,10695,20294
2015-12-21 09:25:00,20151221,925,10695,10700,10690,10695,65819
2015-12-21 09:30:00,20151221,930,10700,10715,10685,10715,89251
2015-12-21 09:35:00,20151221,935,10715,10740,10715,10740,53377
2015-12-21 09:40:00,20151221,940,10745,10785,10740,10785,34392
2015-12-21 09:45:00,20151221,945,10790,10810,10780,10810,29113
2015-12-21 09:50:00,20151221,950,10805,10825,10805,10810,17109
